UDISE Code,School Name,District,Block,State,Management,Category,PIN Code
09451004808,KAMAL NARAYAN PANDEY SANSKRIT VIDYALAYA,PRAYAGRAJ,KHAJURI,Uttar Pradesh,Private Unaided (Recognized),Upper Pri. and Secondary,212306
09451004804,P.S. PACHAWAH,PRAYAGRAJ,KHAJURI,Uttar Pradesh,Department of Education,Primary,212306
09451004807,RAM NIVASH PANDEY U.P.S.,PRAYAGRAJ,KHAJURI,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,212306
09451004806,KASTURBA GANDHI BALIKA VIDHALAYA,PRAYAGRAJ,KHAJURI,Uttar Pradesh,Department of Education,Upper Primary only,212306
09451018801,P.S. KOILARIHA,PRAYAGRAJ,KOILARIHA,Uttar Pradesh,Department of Education,Primary,212306
09451005102,COMPOSITE SCHOOL TUDIYAR,PRAYAGRAJ,TUDIWAR,Uttar Pradesh,Department of Education,Primary with Upper Primary,212307
09451011201,P.S. SALAIYA,PRAYAGRAJ,SALAIYA,Uttar Pradesh,Department of Education,Primary,212306
09451005302,P.S. KHIWALI KHURD,PRAYAGRAJ,BHOGAN,Uttar Pradesh,Department of Education,Primary,212306
09451016401,ADIVASHI P.S. KOILEHA,PRAYAGRAJ,KOIELAHA,Uttar Pradesh,Tribal Welfare Department,Primary,212306
09451004803,PS KHUJURI   II,PRAYAGRAJ,KHAJURI,Uttar Pradesh,Department of Education,Primary,212306
09451004805,RAM NIWASH U.M.V. KHAJURI,PRAYAGRAJ,KHAJURI,Uttar Pradesh,Private Unaided (Recognized),Pri. with Upper Pri. Sec. and H.Sec.,212306
09451008701,PS AYODHYA,PRAYAGRAJ,AYOUDHAYA,Uttar Pradesh,Department of Education,Primary,212306
09451008703,NIDHI NARAYAN P.S AYOUDHAYA,PRAYAGRAJ,AYOUDHAYA,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451008705,PRAKASH UCHCHATAR MADHYMIK VIDHYALAYA,PRAYAGRAJ,AYOUDHAYA,Uttar Pradesh,Private Unaided (Recognized),Secondary Only,212306
09451008704,NIDHI NARAYAN ADARSH BALIKA U P S,PRAYAGRAJ,AYOUDHAYA,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,212306
09451008706,SHRI SHYAM LAL SHUKLA SANSKRIT U.M.V.,PRAYAGRAJ,AYOUDHAYA,Uttar Pradesh,Private Unaided (Recognized),Upper Pri. Secondary and Higher Sec,212306
09451605004,U.P.S.SERAWAL,PRAYAGRAJ,SIRAWAL,Uttar Pradesh,Department of Education,Upper Primary only,212306
09451605001,PS SIRAWAL,PRAYAGRAJ,SIRAWAL,Uttar Pradesh,Department of Education,Primary,212306
09451008202,COMPOSITE SCHOOL RAMGARH,PRAYAGRAJ,RAM GARH ..,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451017902,P.S. BHAGAT PUR,PRAYAGRAJ,KHIWLI KATNA,Uttar Pradesh,Department of Education,Primary,212306
09451005505,RAJ MATA AHHILYA BAI HOKAR P.S.,PRAYAGRAJ,KAPASI,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451011101,P.S. DARSHANI,PRAYAGRAJ,DARSHANI,Uttar Pradesh,Department of Education,Primary,212306
09451016702,SHRI MATHURA PRASAD SANSKRIT U.M.V.,PRAYAGRAJ,BHAGESAR,Uttar Pradesh,Private Unaided (Recognized),Upper Pri. and Secondary,212306
09451016701,P.S. GAJNI,PRAYAGRAJ,BHAGESAR,Uttar Pradesh,Department of Education,Primary,212306
09451002002,P.S. POORA KEVTAN,PRAYAGRAJ,BHAGESAR.,Uttar Pradesh,Department of Education,Primary,211013
09451005503,U.P.S. KAPASI,PRAYAGRAJ,KAPASI,Uttar Pradesh,Department of Education,Upper Primary only,212306
09451000302,COMPOSITE SCHOOL KHIWALI KALA,PRAYAGRAJ,KHIWALI,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451000901,PS BARHA,PRAYAGRAJ,BARAHA,Uttar Pradesh,Department of Education,Primary,212306
09451014401,P.S. BARANPUR,PRAYAGRAJ,BARAN PUR,Uttar Pradesh,Department of Education,Primary,212306
09451004505,P.S. HARDOUN,PRAYAGRAJ,CHAPAR HARDOUN,Uttar Pradesh,Department of Education,Primary,212306
09451002803,P.S RAWANIYA,PRAYAGRAJ,KHANIYA MAJHIGANWA,Uttar Pradesh,Department of Education,Primary,212106
09451000602,U.P.S. DEWARI,PRAYAGRAJ,DEWARI.,Uttar Pradesh,Department of Education,Upper Primary only,212106
09451605102,P.S. KAPUREPUR,PRAYAGRAJ,DHANAWAL,Uttar Pradesh,Department of Education,Primary,212104
09451018201,P.S. AITARI SIKMI,PRAYAGRAJ,AITARI SIKMI,Uttar Pradesh,Department of Education,Primary,212306
09451805901,PS BHAGESAR,PRAYAGRAJ,BHAGESAR,Uttar Pradesh,Department of Education,Primary,212307
09451006502,GRAM SWARAJ SAMITI U.P.S.,PRAYAGRAJ,PATHAR TAL,Uttar Pradesh,Private Unaided (Recognized),Upper Primary only,212307
09451606002,COMPOSITE SCHOOL KEDWAR,PRAYAGRAJ,KEDWAR,Uttar Pradesh,Department of Education,Primary with Upper Primary,212104
09451005901,PS BASAHA,PRAYAGRAJ,BASAHA,Uttar Pradesh,Department of Education,Primary,212306
09451012702,P.S. DIHIYA,PRAYAGRAJ,DIHIYA,Uttar Pradesh,Department of Education,Primary,212306
09451012701,HARIJAN ADIVASHI VIKASH P.S.,PRAYAGRAJ,DIHIYA,Uttar Pradesh,Tribal Welfare Department,Primary,212306
09451017401,COMPOSITE SCHOOL PATHARPUR KALAN,PRAYAGRAJ,PATHARPUR KALAN,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451002001,PS BHAGESAR,PRAYAGRAJ,BHAGESAR.,Uttar Pradesh,Department of Education,Primary,212306
09451001602,DEVKALI BALIKA P S,PRAYAGRAJ,BHAGESAR,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451000502,COMPOSITE SCHOOL ARUWARI,PRAYAGRAJ,ARUWARI,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451001305,CHAUDHARI JAGDEV SINGH U P S,PRAYAGRAJ,SIKARO,Uttar Pradesh,Private Unaided (Recognized),Upper Primary only,212306
09451001303,SARDAR PATEL I.C. SIKRO,PRAYAGRAJ,SIKARO,Uttar Pradesh,Government Aided,Upper Pri. Secondary and Higher Sec,212306
09451001304,KHILARIRAM BALIKA U P S,PRAYAGRAJ,SIKARO,Uttar Pradesh,Private Unaided (Recognized),Upper Primary only,212306
09451001302,LATE KHELARI RAM P.S.,PRAYAGRAJ,SIKARO,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451001306,jJYOTI PUBLIC SCHOOL P.S,PRAYAGRAJ,SIKARO,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451012002,COMPOSITE SCHOOL SAIMAHA,PRAYAGRAJ,SAIMAHA,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451606302,COMPOSITE SCHOOL PACHENDA,PRAYAGRAJ,PACHENDA,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451016601,COMPOSITE SCHOOL SIKARO,PRAYAGRAJ,SIKRO,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451000601,PS DEWARI,PRAYAGRAJ,DEWARI.,Uttar Pradesh,Department of Education,Primary,212106
09451006503,COMPOSITE SCHOOL PATHARTAL,PRAYAGRAJ,PATHAR TAL,Uttar Pradesh,Department of Education,Primary with Upper Primary,212306
09451006505,ADARSH VINDHY MADHAYMIK VIDYALAYA,PRAYAGRAJ,PATHAR TAL,Uttar Pradesh,Private Unaided (Recognized),Secondary Only,212306
09451001801,PS BIRHA,PRAYAGRAJ,BIRHA,Uttar Pradesh,Department of Education,Primary,212306
09451605103,COMPOSITE SCHOOL DHANAWAL,PRAYAGRAJ,DHANAWAL,Uttar Pradesh,Department of Education,Primary with Upper Primary,212104
09451010803,NARAYAN DAS SANSKRIT U.M.VIDYALAYA,PRAYAGRAJ,DIHI KHURD,Uttar Pradesh,Private Unaided (Recognized),Upper Pri. Secondary and Higher Sec,212106
09451010801,PS DIHI KHURD,PRAYAGRAJ,DIHI KHURD,Uttar Pradesh,Department of Education,Primary,212106
09451608702,COMPOSITE SCHOOL KOSARA KHURD,PRAYAGRAJ,KOSARA KHURD,Uttar Pradesh,Department of Education,Primary with Upper Primary,212104
09451009501,PS MISHRA PURA,PRAYAGRAJ,MISHRA PUR ..,Uttar Pradesh,Department of Education,Primary,212306
09451009503,BHUPNARAYAN PUBLIC I.C. MISHRAPUR,PRAYAGRAJ,MISHRA PUR ..,Uttar Pradesh,Private Unaided (Recognized),Pri. with Upper Pri. Sec. and H.Sec.,212306
09451016502,SHRI SHESHMANI SANSKRIT U.M.V.,PRAYAGRAJ,RATYOURA KARPIYA,Uttar Pradesh,Private Unaided (Recognized),Upper Pri. Secondary and Higher Sec,212306
09451016501,P.S. RATYOURA KARPIYA,PRAYAGRAJ,RATYOURA KARPIYA,Uttar Pradesh,Department of Education,Primary,212306
09451001502,CHAUDHARI JAGDEV SINGH U P S,PRAYAGRAJ,TIKAR..,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451001501,PS TIKAR,PRAYAGRAJ,TIKAR..,Uttar Pradesh,Department of Education,Primary,212306
09451001503,P.S. JAI KARAN KA POORA,PRAYAGRAJ,TIKAR..,Uttar Pradesh,Department of Education,Primary,212306
09451001601,UPS BHAGESAR,PRAYAGRAJ,BHAGESAR,Uttar Pradesh,Department of Education,Upper Primary only,212306
09451007201,PS GOBARA,PRAYAGRAJ,GOBARA,Uttar Pradesh,Department of Education,Primary,212106
09451011705,CHETANA BAL VIKAS BALIKA U P S,PRAYAGRAJ,LENDIYARI,Uttar Pradesh,Private Unaided (Recognized),Upper Primary only,212106
09451011706,CHETANA BAL VIKAS P S,PRAYAGRAJ,LENDIYARI,Uttar Pradesh,Private Unaided (Recognized),Primary,212106
09451011709,S SHISHU MANDIR U P S,PRAYAGRAJ,LENDIYARI,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,212106
09451011708,MAHARSHI ACADEMY,PRAYAGRAJ,LENDIYARI,Uttar Pradesh,Private Unaided (Recognized),Primary,212106
09451011710,GUJARATI DEVI,PRAYAGRAJ,LENDIYARI,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451011712,SHIV JIYAWAN INTER COLLEGE,PRAYAGRAJ,LENDIYARI,Uttar Pradesh,Government Aided,Pri. with Upper Pri. Sec. and H.Sec.,212306
09451011711,KALURAM BAL SHIKSHA NIKETAN,PRAYAGRAJ,LENDIYARI,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451011707,GRAMODAYA VIDYALAYA U.P.S.,PRAYAGRAJ,LENDIYARI,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,212106
09451603202,COMPOSITE SCHOOL BADAUWA,PRAYAGRAJ,BADAUWA,Uttar Pradesh,Department of Education,Primary with Upper Primary,212503
09451009005,SHANTI NIKETAN J.H.S VIJAY NAGAR,PRAYAGRAJ,BAIDWAR,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,212306
09451009006,RAJ SHISU SIKSHA SADAN KORAON,PRAYAGRAJ,BAIDWAR,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451009004,SMT. INDRAWATI CONVENT U.M.V.,PRAYAGRAJ,BAIDWAR,Uttar Pradesh,Private Unaided (Recognized),Upper Pri. and Secondary,212306
09451009007,VISHVANATH PRASAD P S,PRAYAGRAJ,BAIDWAR,Uttar Pradesh,Private Unaided (Recognized),Primary with Upper Primary,212306
09451000202,U.P.S. DEVI BANDH,PRAYAGRAJ,DEVO BANDH,Uttar Pradesh,Department of Education,Upper Primary only,212106
09451017803,JHUNNI LAL P.S.,PRAYAGRAJ,DEVI BANDH,Uttar Pradesh,Private Unaided (Recognized),Primary,212106
09451011801,P.S. PIYARI KACHIYAN,PRAYAGRAJ,PIYARI KACHIYAN,Uttar Pradesh,Department of Education,Primary,212306
09451606402,U.P.S. NISCHINT PUR,PRAYAGRAJ,NISHCHINT PUR,Uttar Pradesh,Department of Education,Upper Primary only,212104
09451010003,INDRA BAHADUR SINGH INTER COLLEGE,PRAYAGRAJ,RATYOURA,Uttar Pradesh,Private Unaided (Recognized),Upper Pri. Secondary and Higher Sec,212205
09451018101,P.S. NEWARI,PRAYAGRAJ,NEWARI KORA,Uttar Pradesh,Department of Education,Primary,212104
09451000805,MAHARSHI PADINI P.S.,PRAYAGRAJ,BAROKHARA,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
09451000803,SAHBARI GIRLS INTER COLLEGE,PRAYAGRAJ,BAROKHARA,Uttar Pradesh,Private Unaided (Recognized),Secondary with Higher Secondary,212306
09451000804,KRISHAK SHANTI NIKETAN U.P.S.,PRAYAGRAJ,BAROKHARA,Uttar Pradesh,Private Unaided (Recognized),Upper Primary only,222306
09451000801,PS BAROKHARA,PRAYAGRAJ,BAROKHARA,Uttar Pradesh,Department of Education,Primary,212306
09451015601,P.S. AMKACHA,PRAYAGRAJ,AMKACHA,Uttar Pradesh,Department of Education,Primary,212302
09451002603,P.S. ANTARI (USHARI),PRAYAGRAJ,DEEL,Uttar Pradesh,Department of Education,Primary,212306
09451015101,P.S. USARI,PRAYAGRAJ,USHARI,Uttar Pradesh,Department of Education,Primary,212106
09451019001,P.S. GULLAUR,PRAYAGRAJ,GULLAUR,Uttar Pradesh,Department of Education,Primary,212306
09451014704,S.S.K. INTER COLLEGE,PRAYAGRAJ,TOWN AREA KORAON,Uttar Pradesh,Private Unaided (Recognized),Secondary with Higher Secondary,212306
09451014703,SONPATTI SARASVATI SHISU MANDIR,PRAYAGRAJ,TOWN AREA KORAON,Uttar Pradesh,Private Unaided (Recognized),Primary,212306
